Slug,Title,Logo,Image,Image:alt,Website Name,Link,Label Category,Mainnet,Soroban,Coming Soon,Moneygram,Youtube,Spotify,Description
aquarius,Aquarius,aquarius.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/QURzwTBVIv_9WB4qDpgKAQ/KwZSwFHwB6PGQnK2u4FtoFOiqwWfpQzS6CovP6ROpfKbIG0T6qguqs90BUHb_7ZfsFnB_uPriQhRoBbj7381atIpxOjZ0Z_YmFXTf7P8R9mH6yVzES7PpNxLGTrdaM7G5RH8KbbNrDQ0U4ggw82i9Ft7EdSzidxslgLgYbnMJCQ/SZ66duMlhUUFH7DjYs5tB9ZTFlCuNnlnZCisPdlvFLU),https://framerusercontent.com/images/hK56iH2HoJLXW7H8xUu2n5QQyc.png,,aqua.network,https://aqua.network,AMM,checked,checked,,,,,"Aquarius Network is the governance and liquidity layer for Stellar. Powered by the AQUA token, it enables the community to vote on market rewards, direct liquidity incentives, and guide ecosystem development. By aligning incentives for traders, liquidity providers, and projects, Aquarius strengthens Stellar's DeFi infrastructure and supports sustainable network growth."
kale,Kale,SVLqw6uIzt2sLjopad6lOIN86eI.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/5_uYb3osv4Rd74weQAtkDA/0k0IPxaB_PDiKqk75RW0n_j_MRWn3NjSK_2dpUBmLD4_G5v0sYue9tBgzGTHUxHiMU1sBxJXx9dFQSlW3pBpoGwn6g1eqMb0gbIwvt2DZWxIInNkK8Rjouy1pyzUGjtsQzuzN-5N7qyboseDJ6qlRAHtprlTVpy11hLb5ofDAxhYtQ3Uv4OyZ8WKRZ_5nEak/QJTAbrqutixo0zl8ggvHHMEkRLRAA0o7iYM2fx50Cus),https://framerusercontent.com/images/SVLqw6uIzt2sLjopad6lOIN86eI.png,,kalefarm.xyz,https://kalefarm.xyz/,Gaming,checked,checked,,,,,"KALE is an asset issued on the Stellar blockchain that can be acquired through a mining contract . The more KALE you have, the higher you are on the leaderboard and the more clout you have amongst your fellow KALE HODLers."
phoenix,Phoenix,tJOZ2qDtknNJmIY8IJSH2KGKTo.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/UB2gHZVcxJmgjqF0KFEibg/qbYuZfRTUUZ-F2t1fOqhKnUc50aX0H7Z_vChF645KOzHy0SPNUzn8qZ0057bkroZ3_8-2m2ATpC7DCPwpydiuKkP6P5m7m_EvMsQotM0cfBT7eVK-Ox4eXZfoHy84MPWZ0GrkGUR9046wCfxmcAbifftwPUuiIzovMdP-dyxDMqDLUVYoYPFWMQFjf3TIayC/A5hGsmydM6qGyo809c71ICuy8XPEqzpmNZWIcadigdE),https://framerusercontent.com/images/tJOZ2qDtknNJmIY8IJSH2KGKTo.jpg,,phoenix-hub.io,phoenix-hub.io,AMM,checked,checked,,,,,
soroswap,Soroswap,soroswap.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/EnNISEkFED22sjpeX-mLAg/SOKBNDvXgA0VkpaiH97vuwkOvD5MAT4dk7qe2R5MTISjcZby6uZeOOFDzJ5ffFioIY-SotX-RfaHh0Njqwl3Nn287aXtEhpHkrpPUeoNeD65tRwkfd3vNX-7jrB8up0_WU8PvU4i1J6Tu8VbVNvlGvGZ06Mi3dw-vbS68u5WjcI/RzkORhCqXRcrHVKlFzQxmTVaIL_dM6wfdOZ0zfu3Q4k),https://framerusercontent.com/images/E2GnBnlIHW1i7lnURMs7x6zO8.jpg,,soroswap.finance,soroswap.finance,AMM,checked,checked,,,,,
sushi-swap,Sushi Swap,sushi-swap.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/am36wO0Ts8kXjYxqA6MpQA/nFXt8T4Rbo4GjQcWwc2CLhXR_UVp1HIcigeOEMSqX5GFEOBugcklLs3tri3KZOFv5EaForlqhgeti8AWh6gmgBcdh3oAx7UF_8Dj5TDMSA7LIr91LpszNJiG3fKuaF_mkbDlUh9rXFlUxDUcbjyzqPSpplpnGC4MIryqZafaN1Q/XMebq5vRU-2QkCyH0xH61b6aUa9P5slFrNc_lWdzjfY),https://framerusercontent.com/images/aYAT4anpKP4tKmTDUzslkFwcHBg.png,,sushi.com,sushi.com,AMM,,,checked,,,,
wombat,Wombat,wombat.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/_4dnE_55Br93x2s0HFHtSQ/yMEjGZu-p4xEs4G4_pBdbA-KAZIcDC9JAQrz-mR5Ri1KDAT3HrcTGQj-rTDwtsofHahJEbuSJ-1lM4LH8fJh3HilhWoZqu93IzTQUyGT76YLKihuXaKDse0wotqMKHb7b8ScB0EQ8gaaX_YYXQ6TvVl15Zb017lXHuytQ90CdCE/Q0lec1nmn8K8LAP-iPpWeJIqJnOr4aBH7FXJ5Nc_6UA),https://framerusercontent.com/images/YUvR7UXw1VMDoPFCIiAUcAT1fw.jpg,,wombat.exchange,wombat.exchange,AMM,,checked,,,,,
comet,Comet,7SGH7K0sZd6FswKWNjJb2q6hY.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/fJphyyF0OKAsqdT7gnY13Q/vHgLbCFAuY0hcJuZ5gnNvezxovJB6On5wLXrN4L_MCIz5zMDZlK-DkvEuXp7tMAg9P-W2DUwM9ehtF2epIyCqoXQ47URuX4rYOCVudA4KU3RdrLDcSlkVQsFIQncgpHXSD9heMlKUl-RQ0bDUHp2Kw/Ral7xktEZESWw_qRWjYdF8kXC7EOuCH6kCCtooCKuEY),https://framerusercontent.com/images/7SGH7K0sZd6FswKWNjJb2q6hY.png,,cometDEX,https://github.com/CometDEX,AMM,,,,,,,
stellar-expert,Stellar Expert,p1UzCHW3hEg4NRByv5w7a6CYfI.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/E6DslEMALDmIsR3JO5xCSg/iqJfxHogeO2LxZpYtHFTUKXKZdMa0KlqPP8ti2J0qbgiblnxVPZ65nV8hzyvK0aVWqtdUGTz47cJPPM9gtES_Itf1QNn3DuDU3MCLWgyYLaEQkmxz6zU0YwFTDNcQ-seCDPRZhrGqOR9ALvBlXSk5w/jbjqrCmW_boJtxUYqk00uDA82od2VivgdVlXfCjfTog),https://framerusercontent.com/images/p1UzCHW3hEg4NRByv5w7a6CYfI.png,,stellar.expert,stellar.expert,Block Explorer,checked,checked,,,,,
stellarchain,Stellarchain,Kw6HjV6qe9qh2vHY6b3FZrmnONo.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/EljvL5yfrNausYv8qWq9Bw/fV9Mtb73vUcI_5GBGRiPcD5p8xfYiVeYi7SAEVTKcnMIvOUhvUIHdN0PPi1LaWWyby9r4Ssdhc0P9Mb2kd0HitNNiQQmhdGpBtmTyPACJeWTjoET-kst8DWKEyctmUXBw2zPDmLIdsvwaN6VqGPSQA/d20LqzX1Q0y9xYUWrTUf4-MQkWpV3hBbk47RBwezpGk),https://framerusercontent.com/images/Kw6HjV6qe9qh2vHY6b3FZrmnONo.png,,stellarchain.io,stellarchain.io,Block Explorer,checked,checked,,,,,
steexp,Steexp,jNATnyOQbwzY6hZaPAIaZYq4gbg.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/qTjCuSa6S7l9NTuerXelFA/3SSvfQtByR1YW4wgbV82NHbU-5rLPQ1wSViUO6dINX73JjyemGos_uHkciUQdwPNlxhMAup5raMYDwD3rTdj0ifJ22mh7ryrBE6aHt7Pv6kYR-cCRDhfGQa2UCga9ENTNGY4f1a_tB4QhIbJ5X_kOw/f5gQY4WfFKijHkHQQfZ3iB7EH82l6DpiFik2w3abGiA),https://framerusercontent.com/images/jNATnyOQbwzY6hZaPAIaZYq4gbg.png,,steexp.com,steexp.com,Block Explorer,checked,checked,,,,,
allbridge,Allbridge,allbridge.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/hB8M4dvoe735WXPlr_jppg/iD6y3C_L24rcMKZSP0NErBGYGENFGFEtbFXIUdQJk3AgKUmRoVJ7ROUQMhaanZrNu05Kfmifg1IsSdyegTKJMit-sFU9INRNaL3bYETePh1cAj0DDkATsNVR7ciNeRTEn0Xa24UfojyYEuPVNucxDISXNjGA86596zjTQpnKqx0/gPBWrntxfl99zzXMO-mRJgbcXotzfGWfWZbK1BTt6ho),https://framerusercontent.com/images/XL3NcZAzmGnkyDJvKb8lahbIpSc.png,,allbridge.io,allbridge.io,Bridge,checked,,,,,,
axelar,Axelar,axelar.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/XeLiJGVl7nftLaslEurzfw/pRIwVFZxl-IB-08QQPBthWZLwoa59f4KIHgJp5u5oQqxbqqLhwOvBAzCcMe9nmSWvxDzHjXMPQCKOciUyIg29CeDSOhVqZL5tCGZxRmgXF3TU9rgVG_lnhALAgcU2faHlHw8d2kxnsaA-qpmqz-hmq54NHmpc0PaNxSQYp-9L9Q/3yKYftgYP9HowPJ8x1a_k99B6gPvU1Xn3HG2AAa4i3M),https://framerusercontent.com/images/akOjEe1xt9so8j14ZuzARnvFKig.jpg,,axelar.network,axelar.network,Bridge,,,checked,,,,
ultra-swap,USDC Swap,x4AXyo1lbSVNFpNt51To3KbUoA4.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/L7C2kp59HUbjiFnFCEGEfA/MCGL-jbt0VV4FvfphhJkLXB-5D2VgXF-doS_WLCzh7LDpuXzApk-mvJdzAwqPLEDjR25KxxF_1c4z96yxqkWQ5m9spOeUEUYWyjx8eg0ZqPkiPGUZgQWrsHEqUdJfXBW4BNjdRlRzLfvzrghuIfgsXCDGvoz-2oIUt6yJgRAy-cx7ylEtML4Qm6FeWJn6dCV/jiwWh30gGzqui2xn0yrueXUFeo_730ZTmAaREWr2H4U),https://framerusercontent.com/images/x4AXyo1lbSVNFpNt51To3KbUoA4.png,,usdcswap.com,https://beta.usdcswap.com/,Bridge,,,checked,,,,
spacewalk,Spacewalk,5Zqlci8YIihegOwxJ0CeVcNvXtM.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/tzhYVD1JgM038x4Rdu7Z0w/ODiH-L0xuqtCQ3-Q0kzLCot0YG4uGvGnwWuiWFWW0uTdtfOPFU1bYUXgbfH6082OEvTQNnsp2TuF9dJmu1Bm-IR2FvggFk7dji2MMuKhztpLVcQYuuASWLPgxSm8FIyN6R1TapmDzGH7EKPrr6elcHygEnw7YvMo7F9U6u5kuPT4sH7-gHZ_CxT3wZK2Jkmj/AisMPG5VUZPW7zhIZHPhiCgWPK1PQOP8smWmP1p8Bmc),https://framerusercontent.com/images/5Zqlci8YIihegOwxJ0CeVcNvXtM.png,,pendulumchain.org,pendulumchain.org/spacewalk,Bridge,checked,,,,,,
cubist,Cubist,sq99fPI6JQTYFdjb2qQSPesk.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/C3wJ48DkUGWalwve9u-StA/nL_B6T2MQwlDOlBgerYaG8dLoXwaCysj6G6BeJRRoFSnmpe_r-L9c0M2q38RSAAKDiI_N9sMVfFgLaW_DQWSfgmv29n_arDC3JjW0-zglKIbhg9sjaO-4oeTx25cmSY_6uudcf8jBTFwL_MXCvt_bGTC3iSCGL9UF61F8eo-Xh9I_Sziv26nqLjzvyULYWod/aq1vFQl4uWaLxRnTZRzsL3gW2QzfXQDCQ-3iDyQiu4M),https://framerusercontent.com/images/sq99fPI6JQTYFdjb2qQSPesk.jpg,,cubist.dev,cubist.dev,Bridge,,,checked,,,,
gbpx,GBPx,GCqK9zueEHQd9KkVAkHuoyUYgs.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/5zq0Qf4adedEwroqOzAHgg/C0LQtHJipGdQFwSNmSsrZyYjpc_FhzMz4v72hlh_6ZgLv5E_GT6Ucw_9lJRUPzuvJb3qI_PASFCnMH-EeV7dYs5egD62sAfqoCi6uUGBs-Bv-U-I1YZMjhKRTOtx1ENscRPsYmHGXXUC12ge8zM7xlEoRA7fU3ktwK-W5qG1iL4rIzpFtGh4N005fSWitdjq/wBuW0KbCXNkuERtGCikvj5GA-bzS5ftgEzcVk42_RvI),https://framerusercontent.com/images/GCqK9zueEHQd9KkVAkHuoyUYgs.png,,fxdao.io,fxdao.io,Collatralized Stablecoin,checked,checked,,,,,
eurx,EURx,ECVn7XA6a7NApsnqqvth1OoR86Y.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/tcuesKn1WCn9DJQMpO7qjQ/VweZZmKludUr0r5bmgpH7GXDzjYetwrszN9r4kdeAJO-V7XzDguAspEv4VUz_T0xNQWnTNOgk3rRwbhmur39Thh-YIOgE9X0tphGSC6K5LfXVlpGO1_ZGuVJOqdb78OsON_2Eyd6VoSgqGOVG6DhVaR3bnJg6Vswxa_qTtpFC-u6bC5DHT6QDITtBW11uAlg/R_mLT6X31BL61_2FQLLOj2_YBFqqCOWm00FHfP-gvrA),https://framerusercontent.com/images/ECVn7XA6a7NApsnqqvth1OoR86Y.png,,fxdao.io,fxdao.io,Collatralized Stablecoin,checked,checked,,,,,
usdx,USDx,jiWXqWNuIveq96euo64IMLZFsW4.png (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/gdsZ6AGxFiW046EvT1E_lQ/OxSyFd-cYthQUKqBezaxC0zZlWDuDyeAT9jU9KA88bXwLifzxtZ3MHHshItdAxzJYPvOR7OiUfG-XIOmSnSMmUN3iWlZQUIoGr0seCIGGKBEdq7QeGb3pWDtrHwfQLPdypL7PeaoHB7jQSazBJubiZNU5EXfNs4aWxfo6xTgdfldSYKLW4sBVATsXagQqQSG/Ppdlzy6rKx5GLzM3wolQBeqyL5u9MaKLMON8hmBnkzw),https://framerusercontent.com/images/jiWXqWNuIveq96euo64IMLZFsW4.png,,fxdao.io,fxdao.io,Collatralized Stablecoin,checked,checked,,,,,
xusd,xUSD,2vUhKakQVO0fHe4JsKjOfPo4UA.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/l6Zr030dPHPix4_pwih85A/cH-RKVJeST3WF8L-dCeonl9Ftq1dMoV4cLhiw-BFTwFe3VK7owwesuODXAhxQErabYk5nW9YoFeBgiJfl72HxiH8-7iCApVSZWlCz3NSJ-NsBSGegIu3jEPsry_xOiErQPItvltt_IGRYSoGZsG283QiYeCyf8rEsApsVs7uUXsJ54-bVTtdtc6REdnKs7hp/WJ74HlRoapKtnJyOgkvEEykBLeFHcGwIrp2TxuNms74),https://framerusercontent.com/images/2vUhKakQVO0fHe4JsKjOfPo4UA.jpg,,excellar.finance,excellar.finance,Collatralized Stablecoin,,,,,,,
lumen-loop,Lumen Loop,W6CHHLKaYXMgqx4NBfVchretv4.jpg (https://v5.airtableusercontent.com/v3/u/48/48/1766023200000/Baqpu5y9gIkn01v2buVS1A/y9BYoDot-vfsY62WtKwvjpnC1RKYnHqORpq5lFWkXq-YQp7sbJ-MMGP9hOOVeRMzUE-dobNFQLVE6Q38pAbNZplahx2C7WW7iN0ezziPjgWm7aHyZexJBaupfPDHZbOVxWMLFdwK650MVb9fAil8Am-cOXfhXg_l2fG91F_IivXAdbDrWovxtd68pPebddmn/YnvIKRo12b0T9g1LJE6HaJIUe5ORLEUTjGa8kcPrefA),https://framerusercontent.com/images/W6CHHLKaYXMgqx4NBfVchretv4.jpg,,Lumen Loop,x.com/lumenloop,Content & News,checked,,,,,,
